,Nombre Intérprete,Año de nacimiento,Roles en la industria,Conocido por,Premios
0,Mikhail Efremov,1963,Reparto,12. Koroleva Margo. Anti Killer. Pro lyubov,Otros premios
1,Rim Ayupov,0,Reparto,Pod znakom skorpiona. Kommentariy k prosheniyu o pomilovanii. V polose priboya. Bez pravosudiya,No tiene premios
2,Romualdas Ramanauskas,0,Reparto,Chelovek-nevidimka. The Dead End. Zalozhniki strakha. Trevozhnoye voskresenye,No tiene premios
3,Irina Kulevskaya,0,Reparto,Moskovskiye krasavitsy. Istota. Aryun. Pervaya konnaya,No tiene premios
4,Vera Ivleva,0,Reparto,Ma-ma. Sportloto-82. Opasno dlya zhizni!. Vakansiya,No tiene premios
5,Viktor Plyut,0,Reparto,Alarma en el Rallye. Hullumeelsus. Pats garakais salmins. Gosudarstvennaya granitsa,No tiene premios
6,Vladimir Gorodnichyov,0,Reparto,Istota. Skazka o kupecheskoy docheri i tainstvennom tsvetke,No tiene premios
7,Nikolay Merzlikin,0,Reparto,"Pogovorim, brat. Chelovek, kotorogo ya lyublyu. Surovyye kilometry. Zvezda ekrana",No tiene premios
8,Aleksandr Barinov,0,Reparto,Mech. Glukhar. Otrazheniye. Kriminalnyy otdel,No tiene premios
9,Les Serdyuk,0,Reparto,Taras Bulba. Pod svist pul'. Eksperiment doktora Absta. Hetmanski kleinody,Otros premios
10,Dean Cain,1966,Reparto. Producción. Guion,Lois y Clark: Las nuevas aventuras de Superman. God's Not Dead. Out of Time. Ratas a la carrera,Otros premios
11,Thomas Ian Griffith,1962,Reparto. Producción. Guion,Vampiros de John Carpenter. Karate Kid III: El desafío final. xXx. Punto de impacto,No tiene premios
12,Justin Whalin,1974,Reparto,Muñeco diabólico 3. Dungeons & Dragons (Dragones y mazmorras). Los asesinatos de mamá. Lois y Clark: Las nuevas aventuras de Superman,Otros premios
13,Jodi Bianca Wise,1971,Reparto,El truco final (El prestigio). Viviendo sin límites. Por la causa. Trampas sin límites,No tiene premios
14,Trae Thomas,0,Reparto,Por la causa. Disruptor. Fuerza delta V. Inocentes,No tiene premios
15,Michelle Krusiec,octubre,Reparto. Guion. Dirección,Hollywood. A un millón de millas. La invitación. Salvando las apariencias,Otros premios
16,Stephen Ramsey,0,Reparto,La teniente O'Neil. Minority Report. S.W.A.T.: Los hombres de Harrelson. Reglas de compromiso,No tiene premios
17,Denis Sharp,0,Reparto,Por la causa. Under the Hula Moon. Distant Shadow. Cash in Hand,No tiene premios
18,Lisa Foster,0,Reparto. Efectos visuales. Producción,Call of Duty: Modern Warfare II. Jungla de cristal: La venganza. Lego Universe. El señor de los anillos: Las dos torres,No tiene premios
19,Violeta Markovska,0,Reparto,Soldado universal: Regeneración. The Woman of My Life. Por la causa. Devastación,Otros premios
20,Dimas González,0,Reparto. Dirección de arte,"De repente, la película. El pasajero. Aventures Caraïbes. El Señor de los Cielos",Otros premios
21,José Torres,0,Reparto. Especialistas,Hijos de la Sal. Los tigres de Mompracem. Seminò morte... lo chiamavano il Castigo di Dio!. Cara a cara,Otros premios
22,Juhi Chawla,1967,Reparto. Producción. Música,Qayamat Se Qayamat Tak. Duplicate. Darr. Un viaje de diez metros,Otros premios
23,Anil Kapoor,1956,Reparto. Producción. Música,Slumdog Millionaire. Animal. Welcome. Race 3,Otros premios
24,Rishi Kapoor,1952,Reparto. Música. Producción,Agneepath. Luck by Chance. Kapoor & Sons. Love Aaj Kal,Otros premios
25,Tinnu Anand,1945,Reparto. Dirección. Guion,Sita Ramam. Ghajini. Kaalia. Salaar. Part 1 - Ceasefire,No tiene premios
26,Govardhan Asrani,1941,Reparto. Dirección. Producción,Bodyguard. Sholay. Chala Murari Hero Banne. Hera Pheri,Otros premios
27,Suresh Chatwal,0,Reparto,Om Shanti Om. Munna Bhai M.B.B.S.. Himmat. Karan Arjun,No tiene premios
28,Tisca Chopra,1973,Reparto. Guion. Producción,Taare Zameen Par. 24. Hostages. Rahasya,Otros premios
29,Sulabha Deshpande,1937,Reparto. Dirección,English Vinglish. Investment. Virasat. Khoon Bhari Maang,No tiene premios
30,Dinesh Hingoo,1940,Reparto,Baazigar. Hera Pheri. Namak Halaal. Phir Hera Pheri,No tiene premios
