Título,Puntuación IMDb,Directores,Guionistas,Argumento,ID
Nobat e Asheghi,"6,4",Mohsen Makhmalbaf,Mohsen Makhmalbaf,"Part one: A brown-haired man finds out that his wife cheats on him with a blonde-haired man. He kills his rival and is condemned to the capital punishment. Gazale takes her own life. Part two: Same story. Same denouement, the only variant being that it is the blond-haired man who is the husband and the brown-haired one who is the lover. Part three: The story starts ov... Leer todo",tt0100267
¡Que vivan los crotos!,"6,7",Ana Poliak,"Willi Behnisch, Ana Poliak",The film tells the story of an imigrant to Argentina who works for the railway company of this land. Being a witness to the history of the land of silver in this century the film is also a shortcut of the changes in Argentina during the last 100 years.,tt0102739
Paraíso Perdido,"6,4",Alberto Seixas Santos,"António Cabrita, Alberto Seixas Santos",,tt0105096
Nacidos para la libertad,"5,5",Dee McLachlan,"John Varty, Andrea Buck, Dee McLachlan",A filmmaker determines to document the story of a conservationist who is struggling to save wild leopards in Africa from extinction.,tt0105298
Las cosas del querer 2ª parte,"5,1",Jaime Chávarri,"Antonio Larreta, Luis Sanz",,tt0106616
Halbe Welt,"6,6",Florian Flicker,"Florian Flicker, Michael Sturminger",The sun blazes down from the sky with destructive power; exposing oneself to its light means death. People have transposed everyday existence to the night. In the metropolis of HALF WORLD a culture based on various languages and lifeforms has grown rampant. Everyone is looking for a way to survive.,tt0107070
¡Que rollo de madre!,"4,9",Lawrence David Foldes,"Elisa Charouhas, Lawrence David Foldes","Babe Kim Sterling was destined to become the ball queen, but Beverly Hills' high society gets a taste of their own medicine when she alters the plans for their prestigious Las Madonnas Debutante Ball and turns it into a madcap fiesta.",tt0102952
Coolie No. 1,"6,6",David Dhawan,"Rumi Jaffery, Kader Khan",In order to avenge his insult against wealthy Hoshiarchand Choudhary; Pandit Shaadiram Gharjodhe asks Raju; a coolie by profession to masquerade as a wealthy business tycoon so that he can get marry to Choudhary's daughter Malti.,tt0101616
Night Visions,"5,3",Nicholas Mariolis,Nicholas Mariolis,Author of erotic literature is suffering from writer's block. Beautiful women from various eras of history start appearing to the desperate man to introduce him to erotica popular in their times to help him find inspiration.,tt0102532
Witch Academy,"3,8",Fred Olen Ray,Mark Thomas McGee,Members of an exclusive college sorority (where sadomasochism seems to rule the day) seek twisted new ways to humiliate a new pledge.,tt0108576
Mecánicas celestes,"6,7",Fina Torres,"Yves Belaubre, Telsche Boorman, Daniel Odier","Ana bolts from her wedding altar and flies from Venezuela to Paris (in her wedding gown) to realize her dream of becoming a great opera star. The great Parisian director Italo Medici is filming an operatic Cinderella, but will Ana ""fit into the glass slipper"" before she is deported back to Caracas? The evil, plotting, self-absorbed Celeste tries to thwart Ana, but Ana... Leer todo",tt0107537
Magkasangga 2000,"4,1","Joe Mari Avellana, Phillip Ko, Johnny Wood",Joe Mari Avellana,,tt0105881
Automatic,"5,2",John Murlowski,"Avi Nesher, Susan Lambert","Robgen industries newest security system is ""The J Series Automatic"", an android model designed and programmed to protect humans from violent attacks. But one night, an Automatic named J269 discovers a Robgen executive trying to rape a female employee named Nora Rochester. While trying to stop the crime, he inadvertently kills the executive. At this point, J269 then c... Leer todo",tt0109178
Secuestradas,"3,6",Boon Collins,"Boon Collins, Lindsay Bourne","While a hunting guide takes a big-game hunter into the wilderness, his dead son comes back to life to terrorize three female campers.",tt0109033
Peligroso,"4,0","Rod Hewitt, David Winters",Rod Hewitt,Brother and sister Ninja warriors get revenge for their sister's death by killing the drug dealers in New Orleans. The police enlist the help of a biker warrior to solve the crime. The head drug dealer stirs the pot even further by hiring Cajun warriors to kill those he believes are responsible for the deaths of his dealers.,tt0109536
El misterioso fantasma de un niño muy normalito,"4,7",Anthony Edwards,"Lance W. Dreesen, Clint Hutchison, Mark Twain",An archeologist finds remains of a famous explorer and moves them to a museum. This causes the spirit of the explorer to become restless. He wants his bones properly buried and returns as ghost to seek help from the archeologist's son.,tt0109400
Esti Kornél csodálatos utazása,"7,0",József Pacskovszky,"Dezsö Kosztolányi, János Matúz, József Pacskovszky",A middle-aged writer (Kornél Esti) travels to Germany to deliver a lecture. During the long journey he recalls the memories of another journey he made 30 years before.,tt0109746
