,Tipo,Título,Año,Género,Id_API,IdOwner
0,Movie,Bástyasétány hetvennégy,1984,Drama,51564,tt0071261
1,Movie,Cruz de olvido,1984,Drama,51566,tt0080570
2,Movie,Qing ren kan dao,1984,Drama,51567,tt0081716
3,Movie,Rare Breed,1984,Drama,51568,tt0082972
4,Movie,Die Frau mit dem roten Hut,1984,Drama,51569,tt0083969
5,Movie,Naitou l'orpheline,1984,Drama,51570,tt0084384
6,Movie,Napló gyermekeimnek,1984,Drama,51571,tt0084388
7,Movie,Habanera,1984,Drama,51572,tt0082491
8,Movie,The Dream Chasers,1984,Drama,51573,tt0083852
9,Movie,La gran quiniela,1984,Comedy,51608,tt0082469
10,Movie,UFOria,1984,Comedy,51609,tt0081674
11,Movie,"Los locos, locos carrozas",1984,Comedy,51610,tt0082670
12,Movie,Réveillon chez Bob,1984,Comedy,51611,tt0083013
13,Movie,Preppies,1984,Comedy,51613,tt0084533
14,Movie,Shang Hai tan: Shi san tai bao,1984,Action,51645,tt0083061
15,Movie,Alley Cat,1984,Action,51646,tt0083541
16,Movie,Canicule,1984,Action,51647,tt0085289
17,Movie,Don Camillo,1984,Action,51648,tt0085454
18,Movie,Les cavaliers de l'orage,1984,Action,51649,tt0085312
19,Movie,Luna de sangre,1984,Action,51650,tt0084279
20,Movie,Dreptate în lanturi,1984,Action,51651,tt0085460
21,Movie,L'ultimo guerriero,1984,Action,51652,tt0085540
22,Movie,Fan wan di,1984,Action,51653,tt0084738
23,Movie,Dreams Come True,1984,Fantasy,51686,tt0083853
24,Movie,Cenerentola '80,1984,Fantasy,51687,tt0085316
25,Movie,Feroz,1984,Fantasy,51688,tt0085535
26,Movie,Sword of the Valiant: The Legend of Sir Gawain and the Green Knight,1984,Fantasy,51689,tt0084750
27,Movie,Lao Shan gui lian,1984,Horror,51724,tt0073265
28,Movie,The Power,1984,Horror,51725,tt0081366
29,Movie,"Héctor, el estigma del miedo",1984,Horror,51726,tt0084107
30,Movie,El corazón de la noche,1984,Horror,51728,tt0085364
31,Movie,Gui ma tian shi,1984,Horror,51729,tt0085628
32,Movie,Disconnected,1984,Horror,51730,tt0085442
33,Movie,Rats - Notte di terrore,1984,Horror,51732,tt0086176
34,Movie,Vultures,1984,Horror,51733,tt0086563
35,Movie,Motel,1984,Mystery,51766,tt0085965
36,Movie,Belye rosy,1984,Romance,51805,tt0085227
37,Movie,Blondinka za uglom,1984,Romance,51807,tt0085251
38,Movie,Boszorkányszombat,1984,Romance,51808,tt0085268
39,Movie,Champions,1984,Romance,51811,tt0085320
40,Movie,The Dark Side to Love,1984,Romance,51812,tt0085416
41,Movie,Les fauves,1984,Thriller,51849,tt0085528
42,Movie,I guerrieri dell'anno 2072,1984,Thriller,51850,tt0085627
43,Movie,Hanyatt-homlok,1984,Thriller,51851,tt0085645
44,Movie,Delitto in Formula Uno,1984,Thriller,51852,tt0085420
