,Tipo,Título,Año,Género,Id_API,IdOwner
0,Movie,What Is It?,2005,Drama,58124,tt0118141
1,Movie,Corpse Bride,2005,Drama,58125,tt0121164
2,Movie,Shooting Vegetarians,2005,Drama,58127,tt0146272
3,Movie,The Prodigy,2005,Drama,58128,tt0160706
4,Movie,Eve's Preyer,2005,Drama,58130,tt0187838
5,Movie,Berlin Nights,2005,Drama,58131,tt0195551
6,Movie,Thousands of Miles,2005,Drama,58132,tt0196155
7,Movie,Death-Defying Acts,2005,Drama,58133,tt0195565
8,Movie,The Naked Monster,2005,Comedy,58164,tt0088751
9,Movie,Three,2005,Comedy,58167,tt0159790
10,Movie,Angels with Angles,2005,Comedy,58169,tt0179803
11,Movie,Bob the Butler,2005,Comedy,58170,tt0216584
12,Movie,Bad Girls from Valley High,2005,Comedy,58171,tt0216746
13,Movie,Lucky 13,2005,Comedy,58172,tt0222167
14,Movie,Slipdream,2005,Comedy,58173,tt0226851
15,Movie,Star Wars: Episode III - Revenge of the Sith,2005,Action,58204,tt0121766
16,Movie,Fantastic Four,2005,Action,58205,tt0120667
17,Movie,Striptease Baby Dolls from Cleveland Meet the Unkillables,2005,Action,58208,tt0228906
18,Movie,Wilson Chance,2005,Action,58209,tt0244306
19,Movie,Man-Thing,2005,Action,58211,tt0290747
20,Movie,The Sea Wolf,2005,Action,58212,tt0295590
21,Movie,Dark Assassin,2005,Action,58213,tt0301265
22,Movie,Last Mountain,2005,Fantasy,58249,tt0234084
23,Movie,Mee-Shee: The Water Giant,2005,Fantasy,58250,tt0243462
24,Movie,The Curse of the Were-Rabbit,2005,Fantasy,58251,tt0312004
25,Movie,Lung do kei yuen,2005,Fantasy,58252,tt0327660
26,Movie,Cursed,2005,Horror,58288,tt0257516
27,Movie,2001 Maniacs,2005,Horror,58289,tt0264323
28,Movie,Frankenstein & the Werewolf Reborn!,2005,Horror,58290,tt0267506
29,Movie,From Venus,2005,Horror,58291,tt0274509
30,Movie,Jackpot,2005,Mystery,58324,tt0153517
31,Movie,Firecracker,2005,Mystery,58325,tt0204322
32,Movie,The Krone Experiment,2005,Mystery,58326,tt0220605
33,Movie,Love Thy Neighbor,2005,Mystery,58327,tt0304356
34,Movie,Los suicidas,2005,Mystery,58329,tt0324107
35,Movie,Harry Potter en de vuurbeker,2005,Mystery,58330,tt0330373
36,Movie,Keep Your Distance,2005,Mystery,58332,tt0337656
37,Movie,The PianoTuner of EarthQuakes,2005,Mystery,58333,tt0342882
38,Movie,Alchemy,2005,Romance,58369,tt0285682
39,Movie,Aspects of Love,2005,Romance,58370,tt0287927
40,Movie,Rent,2005,Romance,58372,tt0294870
41,Movie,Going Shopping,2005,Romance,58373,tt0295605
42,Movie,False River,2005,Thriller,58405,tt0160261
43,Movie,Ripley Under Ground,2005,Thriller,58408,tt0219171
44,Movie,Cl.One,2005,Thriller,58409,tt0227189
