,Tipo,Título,Año,Género,Id_API,IdOwner
0,Movie,Nobat e Asheghi,1995,Drama,54935,tt0100267
1,Movie,¡Que vivan los crotos!,1995,Drama,54937,tt0102739
2,Movie,Paraíso Perdido,1995,Drama,54938,tt0105096
3,Movie,Running Wild,1995,Drama,54939,tt0105298
4,Movie,Las cosas del querer 2ª parte,1995,Drama,54941,tt0106616
5,Movie,Halbe Welt,1995,Drama,54942,tt0107070
6,Movie,Prima Donnas,1995,Comedy,54976,tt0102952
7,Movie,Coolie No. 1,1995,Comedy,54977,tt0101616
8,Movie,Night Visions,1995,Comedy,54978,tt0102532
9,Movie,Witch Academy,1995,Comedy,54980,tt0108576
10,Movie,Mécaniques célestes,1995,Comedy,54982,tt0107537
11,Movie,Magkasangga 2000,1995,Action,55015,tt0105881
12,Movie,Automatic,1995,Action,55016,tt0109178
13,Movie,Abducted II: The Reunion,1995,Action,55021,tt0109033
14,Movie,The Dangerous,1995,Action,55022,tt0109536
15,Movie,Charlie's Ghost Story,1995,Fantasy,55056,tt0109400
16,Movie,Esti Kornél csodálatos utazása,1995,Fantasy,55057,tt0109746
17,Movie,Gladiator Cop,1995,Fantasy,55059,tt0109905
18,Movie,Keita! L'héritage du griot,1995,Fantasy,55060,tt0110252
19,Movie,The Phoenix and the Magic Carpet,1995,Fantasy,55062,tt0110826
20,Movie,Tall Tale,1995,Fantasy,55063,tt0111359
21,Movie,Temptress,1995,Horror,55095,tt0109546
22,Movie,Children of the Corn III: Urban Harvest,1995,Horror,55098,tt0109415
23,Movie,Embrace of the Vampire,1995,Horror,55099,tt0109723
24,Movie,Témoin muet,1995,Horror,55100,tt0110604
25,Movie,The Upstairs Neighbour,1995,Horror,55101,tt0111574
26,Movie,Toughguy,1995,Horror,55102,tt0111464
27,Movie,Sorceress,1995,Horror,55103,tt0111244
28,Movie,Á köldum klaka,1995,Mystery,55136,tt0109028
29,Movie,Dolores Claiborne,1995,Mystery,55138,tt0109642
30,Movie,Jupiter's Wife,1995,Mystery,55140,tt0110217
31,Movie,Mad Dogs and Englishmen,1995,Mystery,55141,tt0111151
