Título,Puntuación IMDb,Directores,Guionistas,Argumento,ID
Nobat e Asheghi,"6,4",,,No disponible,tt0100267
¡Que vivan los crotos!,"6,7",,,No disponible,tt0102739
Paraíso Perdido,"6,4",,,No disponible,tt0105096
Nacidos para la libertad,"5,5",Dee McLachlan,"John Varty, Andrea Buck, Dee Mc, Lachlan",A filmmaker determines to document the story of a conservationist who is struggling to save wild leopards in Africa from extinction.,tt0105298
Las cosas del querer 2ª parte,"5,1",,,No disponible,tt0106616
Halbe Welt,"6,6",,,No disponible,tt0107070
¡Que rollo de madre!,"4,9",,,No disponible,tt0102952
Coolie No. 1,"6,6",,,No disponible,tt0101616
Night Visions,"5,3",,,No disponible,tt0102532
Witch Academy,"3,8",,,No disponible,tt0108576
Mecánicas celestes,"6,7",,,No disponible,tt0107537
Magkasangga 2000,"4,1",,,No disponible,tt0105881
Automatic,"5,2",,,No disponible,tt0109178
Secuestradas,"3,6",,,No disponible,tt0109033
Peligroso,"4,0",,,No disponible,tt0109536
El misterioso fantasma de un niño muy normalito,"4,7",,,No disponible,tt0109400
Esti Kornél csodálatos utazása,"7,0",,,No disponible,tt0109746
El policía gladiador,"3,1",,,No disponible,tt0109905
Keïta! L'héritage du griot,"6,4",,,No disponible,tt0110252
The Phoenix and the Magic Carpet,"4,9",,,No disponible,tt0110826
Un cuento: El mito de Pecos Bill,"5,9",Jeremiah S. Chechik,"Steve Bloom, Robert Rodat","A young boy's imagination summons cowboy legend Pecos Bill, who helps him save the family farm from a greedy land-grabber. With the help of a lumberjack and a railroad worker, they all embark on a surprise-filled adventure.",tt0111359
Tentación,"4,2",,,No disponible,tt0109546
Los chicos del maíz 3: La cosecha urbana,"4,3",James D.R. Hickox,"Dode B. LevensonStephen King, Matt Greenberg","Dos sobrevivientes de eventos anteriores son adoptados por una familia de Chicago. En la gran ciudad, intentan adaptarse, pero uno de ellos es en realidad un emisario del mal y pronto comienza una nueva cosecha.",tt0109415
