Título,Puntuación IMDb,Directores,Guionistas,Argumento,ID
Istota,"6,3",,,No disponible,tt0102362
Por la causa,"3,4",,,No disponible,tt0113092
Florentino y el diablo,"7,0",,,No disponible,tt0113086
Karobaar: The Business of Love,"3,7",,,No disponible,tt0116748
Gang,"6,3",,,No disponible,tt0116391
Consequence,"7,7",,,No disponible,tt0115937
Deseando amar,"8,1",Kar-Wai Wong,Kar-Wai Wong,"Dos vecinos forman un fuerte vínculo después de que ambos sospechen de actividades extramatrimoniales de sus cónyuges. Sin embargo, acuerdan mantener su vínculo platónico para no cometer errores similares.",tt0118694
Love 101,"5,1",,,No disponible,tt0119495
Nothing Sacred,"5,8",,,No disponible,tt0119806
State and Main,"6,7",David Mamet,David Mamet,A movie crew invades a small town whose residents are all too ready to give up their values for showbiz glitz.,tt0120202
Bruno,"6,0",Shirley MacLaine,David Ciminello,"Bruno es un joven genio único, cuya expresión de su propia individualidad lleva a su familia y comunidad a lo largo de un viaje emocional.",tt0123003
Canciones del segundo piso,"7,5",,,No disponible,tt0120263
The Elf Who Didn't Believe,"3,8",,,No disponible,tt0123055
Chicken Run: Evasión en la granja,"7,1",Peter LordNick Park,"Peter Lord, Nick Park, Karey Kirkpatrick","Cuando un gallo entra aparentemente volando en una granja de pollos, las gallinas lo ven como una oportunidad para escapar de sus malvados dueños.",tt0120630
Sociedad anónima,"6,3",,,No disponible,tt0116628
Heavy Metal 2,"5,4",Michael ColdeweyMichel Lemire,"Kevin Eastman, Simon Bisley, Eric Talbot","After surviving an invasion on her peaceful homeworld, a beautiful avenger must stop a powerful psychopath from gaining immortality and rescue her kidnapped sister.",tt0119273
Misión: Imposible 2,"6,1",John Woo,"Bruce Geller, Ronald D. MooreBrannon Braga","""El agente del FMI Ethan Hunt es enviado a Sydney, para encontrar y destruir una enfermedad genéticamente modificada llamada """"Quimera"""".""",tt0120755
Titan A.E.,"6,6",Don BluthGary Goldman,"Hans Bauer, Randall Mc, CormickBen Edlund",Un joven descubre que tiene que encontrar una nave terrestre oculta antes que una especie alienígena enemiga para asegurar la supervivencia de la humanidad.,tt0120913
Foiled,"6,6",,,No disponible,tt0120673
X-Men,"7,3",Bryan Singer,"Tom De, SantoBryan Singer, David Hayter","En un mundo donde los mutantes (humanos superpoderosos evolucionados) existen y son discriminados, dos grupos se forman para un choque inevitable: la supremacista Hermandad y los pacifistas X-Men.",tt0120903
El emperador y sus locuras,"7,4",Mark Dindal,"Chris Williams, Mark Dindal, David Reynolds","El emperador Kuzco fue convertido en una llama por su exadministradora Yzma, y ahora debe recuperar su trono con la ayuda de Pacha, un amable pastor de llamas.",tt0120917
Dinosaurio,"6,4",,,No disponible,tt0130623
El Cuervo: Salvación,"4,9",Bharat Nalluri,James O'BarrChip Johannessen,Alex Corvis returns to the world of the living to solve the murder of a young woman that he was wrongly accused of.,tt0132910
Las aventuras de Rocky y Bullwinkle,"4,3",Des McAnuff,"Jay Ward, Kenneth Lonergan","Cuando los enemigos Boris, Natasha y Líder Temerario escapan al mundo real con un plan nefasto, Rocky y Bullwinkle hacen lo mismo, y se unen a un joven agente del FBI para detener al trío.",tt0131704
La ruta hacia El Dorado,"6,9",Bibo BergeronDon PaulJeffrey Katzenberg,"Ted Elliott, Terry Rossio, Karey Kirkpatrick","Dos estafadores consiguen un mapa que les llevará a la famosa ciudad de oro, El Dorado.",tt0138749
Los inmortales: Juego final,"4,6",Douglas Aarniokoski,"Gregory Widen, Eric Bernt, Gillian Horvath","Los inmortales Connor y Duncan MacLeod deben unir sus fuerzas contra Kell, un inmortal malvado que es demasiado fuerte para que nadie se le enfrente solo.",tt0144964
Red Lipstick,"6,5",,,No disponible,tt0144574
La leyenda de Bagger Vance,"6,7",Robert Redford,"Steven Pressfield, Jeremy Leven",Un golfista venido a menos intenta recuperar su juego y su vida con la ayuda de un cadi místico.,tt0146984
Deadfall,"4,9",,,No disponible,tt0128158
Scream 3,"5,7",Wes Craven,"Kevin Williamson, Ehren Kruger","Mientras Sidney y sus amigos visitan el set de Hollywood de Apuñalada 3, la tercera película basada en los asesinatos de Woodsboro, otro asesino, Ghostface, se presenta para aterrorizarlos.",tt0134084
Supernova (El fin del universo),"4,8",Walter HillFrancis Ford CoppolaJack Sholder,"William Malone, Daniel Chuba, David C. Wilson",La crónica de una operación de búsqueda y rescate por una nave interestelar médica con seis tripulantes en el siglo XXII.,tt0134983
Pitch Black,"7,0",David Twohy,"Jim Wheat, Ken Wheat, David Twohy",Una nave comercial y su tripulación quedan aislados en un planeta lleno de criaturas sedientas de sangre que cazan de noche.,tt0134847
Mothman,"7,2",,,No disponible,tt0137115
American Psycho,"7,6",Mary Harron,"Bret Easton,  EllisMary Harron, Guinevere Turner","Patrick Bateman, un rico ejecutivo de banca de inversión de Nueva York, esconde su ego psicopático alternativo de sus compañeros de trabajo y amigos al tiempo que profundiza en sus violentas fantasías hedonistas.",tt0144084
Eyes to Heaven,"6,8",,,No disponible,tt0148120
Ricky 6,"6,0",,,No disponible,tt0156020
The Million Dollar Hotel,"5,7",,,No disponible,tt0120753
Resucitar un amor,"6,4",,,No disponible,tt0127349
Luckytown blues,"4,7",Paul Nicholas,Brendan Beseth,"Kirsten Dunst plays a young woman (Lidda), who is searching for her father (James Caan). She finds herself at odds with her boyfriend who wants nothing but a carefree lifestyle.",tt0160495
Pasión por vivir,"5,5",Alain Berliner,"Ron Bass, David Field",A psychological romantic thriller where fantasy and reality become indistinguishable for a woman leading a double life in her dreams.,tt0160644
Muerte a la carta,"5,5",Paul Rachman,"Shawn David,  ThompsonWilliam Quist","Four friends steal a valuable statuette for a dangerous black market art dealer, lose it, and are forced to play a deadly bluffing game to save their lives.",tt0160289
Lo que la verdad esconde,"6,6",Robert Zemeckis,"Clark Gregg, Sarah Kernochan","La esposa de un investigador universitario cree que su casa en el lago de Vermont está embrujada por un fantasma, o que está perdiendo la cabeza.",tt0161081
Trixie,"4,9",Alan Rudolph,"Alan Rudolph, John Binder","An eccentric, unconventional woman whose naive aspirations to rise from her job as a security guard to full-fledged private eye lead her into a tangled PL: mess.",tt0162711
The Fantasticks,"5,6",Michael Ritchie,"Tom Jones, Harvey Schmidt",A mysterious fair that comes to a small community in the countryside could make real the illusions of two teenagers.,tt0113026
Passionnément,"5,4",,,No disponible,tt0119866
Hechizo del corazón,"6,9",Bonnie Hunt,"Bonnie Hunt, Don Lake, Andrew Stern",A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart.,tt0122459
Pushing the Envelope,"6,6",,,No disponible,tt0119966
Vulgar,"5,2",Bryan Johnson,Bryan Johnson,A man who performs as a children's birthday party clown tries to piece his life back together after being gang-raped.,tt0120467
Falsa inocencia,"4,9",Kikuo Kawasaki,Kikuo Kawasaki,"The entangled stories around the life of Elsie Taryn Townsendz, who becomes rich from being a country town's girl.",tt0122161
Shikari,"4,6",,,No disponible,tt0120117
Traición inminente,"4,4",Keoni Waxman,Richard Beattie,"A dark, comedic thriller about fraud, bank robbers, and a search for love.",tt0120698
November 1828,"6,9",,,No disponible,tt0079644
Albela,"3,7",,,No disponible,tt0118578
Don's Plum,"5,5",,,No disponible,tt0119004
"Glitter, todo lo que brilla","2,4",Vondie Curtis-Hall,Cheryl L. WestKate Lanier,"Una joven cantante sale con un disc jockey que la ayuda a entrar en el negocio de la música, pero su relación se complica a medida que ella asciende al estrellato.",tt0118589
Camarate,"6,6",,,No disponible,tt0120624
"Berlin Diaries, 1940-45",No disponible,,,No disponible,tt0120605
Ricochet River,"4,7",Deborah Del Prete,"Robin Cody, Patrick O'Connor","High school seniors Wade and Lorna have spent all their lives in the small logging town of Calamus Grove, a conservative place where change comes slowly. Jesse Howl, a teenager of Native American ancestry.",tt0120807
El señor de los anillos: La comunidad del anillo,"8,9",Peter Jackson,"J.R.R. TolkienFran Walsh, Philippa Boyens",Un hobbit de la Comarca y ocho compañeros emprenden un viaje para destruir el poderoso Anillo Único y salvar la Tierra Media del Señor Oscuro Sauron.,tt0120737
Kate & Leopold,"6,4",James Mangold,"Steven Rogers, James Mangold","Un duque inglés de 1876 es arrastrado accidentalmente al Nueva York actual, donde se enamora de una valiente ejecutiva de publicidad.",tt0035423
El día de los albañiles 2,"5,1",,,No disponible,tt0089067
Horror in the Attic (Terror en el ático),"4,9",Jeremy Kasten,"Rogan Russell,  Marshall",An amnesiac awakens in an asylum for the criminally insane and must find answers as those around him die one by one.,tt0118652
Burning Down the House,"4,9",,,No disponible,tt0123581
Sticks,"5,4",,,No disponible,tt0124889
Las seductoras,"6,2",David Mirkin,"Robert Dunn, Paul Guay, Stephen Mazur",Un equipo de estafadores de madre e hija seducen y estafan a hombres ricos.,tt0125022
Shrek,"7,9",Andrew AdamsonVicky Jenson,"William Steig, Ted Elliott, Terry Rossio","Un malvado señor exilia a las criaturas de los cuentos de hadas al pantano de un ogro gruñón, que debe emprender una búsqueda y rescatar a una princesa para el señor con el fin de recuperar sus tierras.",tt0126029
Fuerza silenciosa,"4,1",,,No disponible,tt0114447
Blazin',"3,9",,,No disponible,tt0128165
Driven,"4,6",Renny Harlin,"Jan Skrentny, Neal Tabachnick, Sylvester Stallone",Cuando un joven piloto está en medio de una temporada de campeonato y se está desmoronando llama a un ex campeón de CART para que le oriente.,tt0132245
El planeta de los simios,"5,7",Tim Burton,"Pierre Boulle, William Broyles,  Jr.Lawrence Konner","En 2029, un astronauta se estrella en un misterioso planeta donde simios parlantes evolucionados dominan a una raza de humanos primitivos.",tt0133152
The ghost (Muerte silenciosa),"3,9",,,No disponible,tt0141120
Lara Croft: Tomb Raider,"5,8",Simon West,"Sara B. CooperMike Werb, Michael Colleary","La aventurera de los videojuegos, Lara Croft, cobra vida en una película en la que compite contra el tiempo y los villanos para recuperar poderosos artefactos antiguos.",tt0146316
Camouflage,"4,6",,,No disponible,tt0150021
El aprendiz de brujo,"4,2",David Lister,Brett Morris,"When his new neighbour turns out to be the wizard Merlin, young Ben Clark is enlisted in an ancient battle to save the world.",tt0120166
Lightmaker,"7,5",,,No disponible,tt0133063
Little Shop of Erotica,"4,1",,,No disponible,tt0148415
Vidocq: El mito,"6,4",,,No disponible,tt0164961
Monkeybone,"4,8",,,No disponible,tt0166276
Desde el infierno,"6,7",Albert HughesAllen Hughes,"Alan Moore, Eddie Campbell, Terry Hayes","En la época del Londres victoriano, un detective de la policía clarividente investiga los asesinatos de Jack el Destripador.",tt0120681
Victoria's Shadow,"3,4",,,No disponible,tt0153533
Unseen Evil,"3,3",,,No disponible,tt0162030
Bones,"4,4",Ernest R. Dickerson,"Adam Simon, Tim Metcalfe","Over 20 years after his death by a gunshot, Jimmy Bones comes back as a ghost to wreak revenge on those who killed him and to clean up his neighborhood.",tt0166110
Generation Ax,"3,0",Tommy Faircloth,Tommy Faircloth,"Two giggly high school lovebirds playfully throw pieces of bloody human brain at one another, then take a messy shower, in the latest horror flick out of South Carolina, which is fast becoming the Gruesome Gus capital of the world. The flick is called GENERATION AX, and it's HEATHERS meets SCREAM meets THE TEXAS CHEERLEADER MOM meets BONNIE AND CLYDE. Tommy Faircloth ... Leer todo",tt0171339
Enigma,"6,4",Michael Apted,"Robert Harris, Tom Stoppard",Un joven genio corre frenéticamente contra el tiempo para descifrar un código enemigo y resolver el misterio que rodea a la mujer que ama.,tt0157583
Infiltrado,"6,1",Gary Fleder,"Philip K. DickScott Rosenberg, Caroline Case","En el futuro, una raza alienígena utiliza androides como bombas para atacar la Tierra. Un especialista en armamento del Gobierno es acusado de ser uno de esos androides y se propone demostrar su inocencia.",tt0160399
Dark Water,"5,1",,,No disponible,tt0163596
Mulholland Drive,"7,9",David Lynch,David Lynch,"Tras un accidente en Mulholland Drive, una mujer amnésica y una aspirante a actriz recorrerán Los Ángeles buscando respuestas en un viaje más allá de los sueños y la realidad.",tt0166924
The Confidence Man,"5,4",,,No disponible,tt0179735
Muerte de un ángel,"5,8",Kasi Lemmons,"George Dawes,  Green",Un hombre que vive en una cueva se propone localizar al asesino de un niño sin hogar y llevarlo ante la justicia.,tt0182000
404 Error,No disponible,,,No disponible,tt0124359
Enredos de sociedad,"4,5",Peter Chelsom,"Michael Laughlin, Buck Henry",Two loving middle aged couples get caught in a series of marital misadventures over reasons of fidelity.,tt0141907
Long Lost Love,"7,0",,,No disponible,tt0160480
3 noches,"7,1",,,No disponible,tt0114722
Eyes Are Upon You,"2,8",,,No disponible,tt0126899
Training Day (Día de entrenamiento),"7,8",Antoine Fuqua,David Ayer,"En su primer día de trabajo como oficial de narcóticos, un policía novato acaba con un inusual detective que no es lo que parece.",tt0139654
Crimen y castigo,"5,5",Menahem Golan,"Fyodor Dostoevsky, Menahem Golan",A modern day adaptation of Dostoyevsky's classic novel about a young student who is forever haunted by the murder he has committed.,tt0096056
Pasos de baile,"6,8",John Malkovich,Nicholas Shakespeare,Un detective de la policía de un país sudamericano se dedica a dar caza a un líder guerrillero revolucionario.,tt0118926
Random Shooting in L.A.,"6,5",,,No disponible,tt0119980
Frida,"7,3",Julie Taymor,"Hayden Herrera, Clancy Sigal, Diane Lake","Una biografía de la artista Frida Kahlo, que canalizó el dolor de una lesión debilitante y de su tempestuoso matrimonio en su trabajo.",tt0120679
